data_year,data_month,kind,fcc_dir,filename,url,size,sha256,s3_key,staged
2019,7,raw,2019,data-raw-2019-jul.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2019/data-raw-2019-jul.tar.gz,3073773346,9cc82ba60d36fcec35de7e5f698a05264823d9b9cb4327592ac822c97a79d35f,fcc-mba/2019/raw/data-raw-2019-jul.tar.gz,1
2019,8,raw,2019,data-raw-2019-aug.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2019/data-raw-2019-aug.tar.gz,3395638197,7657eb0bc59f9ca05341d5b30e9eb1e0fbc83a8181728edee4c68802b79cd207,fcc-mba/2019/raw/data-raw-2019-aug.tar.gz,1
2019,9,raw,2019,data-raw-2019-sept.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2019/data-raw-2019-sept.tar.gz,3527148050,05e1b7b2bcbe77c9bea47a175d3247f1cf0eb1dfea4f7f74a4d736a030e8c2a0,fcc-mba/2019/raw/data-raw-2019-sept.tar.gz,1
2019,10,raw,2019,data-raw-2019-oct.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2019/data-raw-2019-oct.tar.gz,3571351962,ac41c2561a702681303168ce5cdb1501bf87687e08d7b8b61d4baa750056234d,fcc-mba/2019/raw/data-raw-2019-oct.tar.gz,1
2019,11,raw,2019,data-raw-2019-nov.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2019/data-raw-2019-nov.tar.gz,3378033228,22ec7f24543aa86f68d75c154b7048847aff14628797560d5fb7e822330269bf,fcc-mba/2019/raw/data-raw-2019-nov.tar.gz,1
2019,12,raw,2019,data-raw-2019-dec.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2019/data-raw-2019-dec.tar.gz,2622270544,43950af02af65dd70ee76c956ba8f6de342282abb015f0d6adff6d37594fd414,fcc-mba/2019/raw/data-raw-2019-dec.tar.gz,1
2020,1,raw,2020,data-raw-2020-jan.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2020/data-raw-2020-jan.tar.gz,2781391192,b575e0ce764301e17eeabd1ebf50e16cd44db50de6bec7bce7bcf7ae2b459319,fcc-mba/2020/raw/data-raw-2020-jan.tar.gz,1
2020,2,raw,2020,data-raw-2020-feb.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2020/data-raw-2020-feb.tar.gz,2972499904,45e9cf50aa862f66165a20542459d6c80452df30b031cb3bafd4571ee473a292,fcc-mba/2020/raw/data-raw-2020-feb.tar.gz,1
2020,3,raw,2020,data-raw-2020-mar.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2020/data-raw-2020-mar.tar.gz,3186795865,51c551f9a0de70ff3aad09bcbf160faab5dca052c7ae4170d61a22ce6656b9e0,fcc-mba/2020/raw/data-raw-2020-mar.tar.gz,1
2020,4,raw,2020,data-raw-2020-apr.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2020/data-raw-2020-apr.tar.gz,3003023614,849dd363632312a649a0bcdd09c9453a989387f809b2883486c9ecce41a53055,fcc-mba/2020/raw/data-raw-2020-apr.tar.gz,1
