data_year,data_month,dataset,technology,n_units,rc,tis
2019,5,raw,overall,4185,685,0
2019,6,raw,cable,613,50,0
2019,6,raw,dsl,599,48,0
2019,6,raw,fiber,388,20,0
2019,6,raw,overall,4102,593,0
2019,7,raw,cable,684,55,0
2019,7,raw,dsl,694,66,0
2019,7,raw,fiber,543,29,0
2019,7,raw,overall,4490,611,0
2019,8,raw,cable,829,51,0
2019,8,raw,dsl,833,103,0
2019,8,raw,fiber,654,42,0
2019,8,raw,overall,4892,667,0
2019,9,raw,cable,936,61,0
2019,9,raw,dsl,960,99,0
2019,9,raw,fiber,696,47,0
2019,9,raw,overall,5182,688,0
2019,9,validated,cable,963,41,0
2019,9,validated,dsl,1014,111,0
2019,9,validated,fiber,697,43,0
2019,9,validated,overall,2674,195,0
2019,10,raw,cable,936,70,0
2019,10,raw,dsl,926,102,0
2019,10,raw,fiber,681,56,0
2019,10,raw,overall,5054,699,0
2019,11,raw,cable,904,69,0
2019,11,raw,dsl,904,101,0
2019,11,raw,fiber,659,52,0
2019,11,raw,overall,4990,685,0
2019,12,raw,cable,0,0,0
2019,12,raw,dsl,0,0,0
2019,12,raw,fiber,0,0,0
2019,12,raw,overall,0,0,0
2020,1,raw,cable,902,76,0
2020,1,raw,dsl,792,89,0
2020,1,raw,fiber,586,112,0
2020,1,raw,overall,4773,708,0
2020,2,raw,cable,879,73,0
2020,2,raw,dsl,781,95,0
2020,2,raw,fiber,589,110,0
2020,2,raw,overall,4622,679,0
2020,3,raw,cable,846,86,0
2020,3,raw,dsl,790,120,0
2020,3,raw,fiber,595,122,0
2020,3,raw,overall,4423,768,0
2020,4,raw,cable,918,133,0
2020,4,raw,dsl,791,140,0
2020,4,raw,fiber,598,152,0
2020,4,raw,overall,4400,925,0
2020,5,raw,cable,921,96,0
2020,5,raw,dsl,806,124,0
2020,5,raw,fiber,600,121,0
2020,5,raw,overall,4330,765,0
2020,6,raw,cable,948,94,0
2020,6,raw,dsl,809,110,0
2020,6,raw,fiber,605,117,0
2020,6,raw,overall,4286,700,0
2020,7,raw,cable,962,87,0
