data_year,data_month,dataset,n_units,rc,tis,technology
2019,12,raw,0,0,0,cable
2019,12,raw,0,0,0,dsl
2019,12,raw,0,0,0,fiber
2019,12,raw,0,0,0,overall
2020,1,raw,902,76,0,cable
2020,1,raw,792,89,0,dsl
2020,1,raw,586,112,0,fiber
2020,1,raw,4773,708,0,overall
2020,2,raw,879,73,0,cable
2020,2,raw,781,95,0,dsl
2020,2,raw,589,110,0,fiber
2020,2,raw,4622,679,0,overall
2020,3,raw,846,86,0,cable
2020,3,raw,790,120,0,dsl
2020,3,raw,595,122,0,fiber
2020,3,raw,4423,768,0,overall
2020,4,raw,918,133,0,cable
2020,4,raw,791,140,0,dsl
2020,4,raw,598,152,0,fiber
2020,4,raw,4400,925,0,overall
2020,5,raw,921,96,0,cable
2020,5,raw,806,124,0,dsl
2020,5,raw,600,121,0,fiber
2020,5,raw,4330,765,0,overall
2020,6,raw,948,94,0,cable
2020,6,raw,809,110,0,dsl
2020,6,raw,605,117,0,fiber
2020,6,raw,4286,700,0,overall
2020,7,raw,962,87,0,cable
2020,7,raw,871,106,0,dsl
2020,7,raw,667,137,0,fiber
2020,7,raw,4356,722,0,overall
2020,8,raw,1089,29,0,cable
2020,8,raw,992,57,0,dsl
2020,8,raw,691,47,0,fiber
2020,8,raw,4562,331,0,overall
2020,9,raw,1189,34,0,cable
2020,9,raw,1266,95,0,dsl
2020,9,raw,762,76,0,fiber
2020,9,raw,5048,414,0,overall
2020,9,validated,1227,43,0,cable
2020,9,validated,1316,85,0,dsl
2020,9,validated,792,56,0,fiber
2020,9,validated,3335,184,0,overall
2020,11,raw,1123,104,0,cable
2020,11,raw,1210,116,0,dsl
2020,11,raw,723,132,0,fiber
2020,11,raw,4910,698,0,overall
2020,12,raw,1048,132,0,cable
2020,12,raw,1180,123,0,dsl
2020,12,raw,682,145,0,fiber
2020,12,raw,4731,758,0,overall
2021,1,raw,971,111,0,cable
2021,1,raw,1034,95,0,dsl
2021,1,raw,528,99,0,fiber
2021,1,raw,4611,653,0,overall
2021,2,raw,981,99,0,cable
2021,2,raw,1048,103,0,dsl
2021,2,raw,561,109,0,fiber
2021,2,raw,4557,637,0,overall
2021,3,raw,895,75,0,cable
2021,3,raw,1044,88,0,dsl
2021,3,raw,466,65,0,fiber
2021,3,raw,4152,501,0,overall
2021,4,raw,0,0,0,cable
2021,4,raw,0,0,0,dsl
2021,4,raw,0,0,0,fiber
2021,4,raw,0,0,0,overall
2021,5,raw,973,79,0,cable
2021,5,raw,1022,78,0,dsl
2021,5,raw,569,104,0,fiber
2021,5,raw,4254,535,0,overall
2021,6,raw,982,85,0,cable
2021,6,raw,1031,85,0,dsl
2021,6,raw,561,98,0,fiber
2021,6,raw,4195,513,0,overall
2021,7,raw,1004,92,0,cable
2021,7,raw,1029,80,0,dsl
2021,7,raw,582,96,0,fiber
2021,7,raw,4173,534,0,overall
2021,8,raw,1112,119,0,cable
2021,8,raw,1049,68,0,dsl
2021,8,raw,620,105,0,fiber
2021,8,raw,4201,564,0,overall
2021,9,raw,1214,107,0,cable
2021,9,raw,1240,92,0,dsl
2021,9,raw,648,112,0,fiber
2021,9,raw,4505,523,0,overall
2021,9,validated,1215,83,0,cable
2021,9,validated,1295,124,0,dsl
2021,9,validated,705,78,0,fiber
2021,9,validated,3216,285,0,overall
2021,10,raw,1167,101,0,cable
2021,10,raw,1222,95,0,dsl
2021,10,raw,661,113,0,fiber
2021,10,raw,4461,490,0,overall
2021,11,raw,1139,83,0,cable
2021,11,raw,1164,102,0,dsl
2021,11,raw,622,76,0,fiber
2021,11,raw,4299,463,0,overall
2021,12,raw,1136,79,0,cable
2021,12,raw,1135,106,0,dsl
2021,12,raw,646,46,0,fiber
2021,12,raw,4286,426,0,overall
2022,1,raw,471,34,0,cable
2022,1,raw,736,59,0,dsl
2022,1,raw,260,6,0,fiber
2022,1,raw,4282,463,0,overall
2022,2,raw,479,42,0,cable
2022,2,raw,737,60,0,dsl
2022,2,raw,261,8,0,fiber
2022,2,raw,4229,486,0,overall
2022,3,raw,430,42,0,cable
2022,3,raw,733,58,0,dsl
2022,3,raw,259,6,0,fiber
2022,3,raw,4056,455,0,overall
2022,4,raw,465,34,0,cable
2022,4,raw,731,55,0,dsl
2022,4,raw,259,5,0,fiber
2022,4,raw,4012,435,0,overall
2022,5,raw,475,32,0,cable
2022,5,raw,729,50,0,dsl
2022,5,raw,260,7,0,fiber
2022,5,raw,3950,419,0,overall
2022,6,raw,478,29,0,cable
2022,6,raw,728,68,0,dsl
